CODE,Location Name,lat,lon,Latitude/Longitude
V16,GAJUWAKA SUPER FRANCHISEE,17.68724,83.20519,"17.68724,83.20519"
V20,VISHAKAPATNAM SCS BRANCH,17.73699,83.26624,"17.73699,83.26624"
V06,VIJAYAWADA APEX,16.5479875,80.6892874,"16.5479875,80.6892874"
V21,MADANAPALLI SORTING OFFICE,13.549309,78.52729,"13.549309,78.52729"
V22,NANDYAL SUB BRANCH,15.4615815,78.4850014,"15.4615815,78.4850014"
V24,HINDUPUR BRANCH,13.84673,77.48332,"13.84673,77.48332"
V32,CHITTOOR NODAL POINT,13.2169452,79.108187,"13.2169452,79.108187"
V57,BHIMAVARAM SUB BRANCH,16.5462114,81.52220247,"16.5462114,81.52220247"
V19,VIJAYAWADA SCS BRANCH,16.5479875,80.6892874,"16.5479875,80.6892874"
W02,CUTTACK BRANCH,20.4071466,85.8776718,"20.4071466,85.8776718"
W03,ROURKELA BRANCH,22.23,84.8255,"22.23,84.8255"
W04,BERHAMPUR BRANCH,19.28545,84.795772,"19.28545,84.795772"
W05,JAJPUR ROAD BRANCH,20.93365,86.173234,"20.93365,86.173234"
W06,BALASORE BRANCH,21.52448,86.89565,"21.52448,86.89565"
W07,SAMBALPUR BRANCH,21.49330792,83.98151537,"21.49330792,83.98151537"
W08,RAYAGADA SUB BRANCH,19.186187,83.412693,"19.186187,83.412693"
W09,ANGUL BRANCH,20.825877,85.093817,"20.825877,85.093817"
V58,VIJAYAWADA BRANCH,16.5479875,80.6892874,"16.5479875,80.6892874"
W12,JHARSUGUDA BRANCH,21.824582,84.007963,"21.824582,84.007963"
W14,BHADRAK SORTING OFFICE,21.054756,86.492643,"21.054756,86.492643"
W15,PURI SORTING OFFICE,19.808769,85.8293197,"19.808769,85.8293197"
W21,RUCHIKA MARKET BRANCH,20.281375,85.793248,"20.281375,85.793248"
W22,JEYPORE SORTING OFFICE,18.846756,82.600635,"18.846756,82.600635"
W23,BOLANGIR SORTING OFFICE,20.70358161,83.48763987,"20.70358161,83.48763987"
W40,KHURDA NODAL POINT,20.18291636,85.62023603,"20.18291636,85.62023603"
W44,PARADEEP NODAL POINT,20.29519137,86.64386677,"20.29519137,86.64386677"
W10,BHUBANESHWAR SURFACE APEX,20.4072674,85.8775314,"20.4072674,85.8775314"
W52,MANCHESWAR BRANCH,20.302516,85.85346,"20.302516,85.85346"
X02,SILCHAR SORTING OFFICE,24.831671,92.760625,"24.831671,92.760625"
W53,BHUBANESWAR AIR APEX,20.302516,85.85346,"20.302516,85.85346"
X04,DIBRUGARH BRANCH,27.48097,94.906652,"27.48097,94.906652"
X05,TEZPUR BRANCH,26.66273225,92.80764845,"26.66273225,92.80764845"
X06,SHILLONG SORTING OFFICE,25.57713828,91.88207179,"25.57713828,91.88207179"
X07,AIZAWLSORTING OFFICE,23.737463,92.7168732,"23.737463,92.7168732"
X01,DHARAPUR APEX,26.13382,91.62004,"26.13382,91.62004"
X10,LANUNG GAON BRANCH,26.13382,91.62004,"26.13382,91.62004"
X12,IMPHAL SORTING OFFICE,24.7647,93.8973,"24.7647,93.8973"
X13,BONGAIGAON SORTING OFFICE,26.50391345,90.54706072,"26.50391345,90.54706072"
X15,JORHAT SORTING OFFICE,26.75046927,94.17928665,"26.75046927,94.17928665"
X17,TINSUKIA SORTING OFFICE,27.49220396,95.34679427,"27.49220396,95.34679427"
X18,GOALPARA BRANCH,26.16949061,90.62561518,"26.16949061,90.62561518"
X19,NAGAON BRANCH,26.35368864,92.68636504,"26.35368864,92.68636504"
X21,DIBRUGARH APEX,27.48061152,94.90665145,"27.48061152,94.90665145"
X22,DISPUR BRANCH,26.13767279,91.79052075,"26.13767279,91.79052075"
X23,DHUBRI BRANCH,26.01966,89.987739,"26.01966,89.987739"
X25,ITANAGAR BRANCH,27.10335107,93.62538013,"27.10335107,93.62538013"
X26,SIVASAGAR BRANCH,26.996573,94.646011,"26.996573,94.646011"
X27,GOLAGHAT BRANCH,26.50727326,93.97308808,"26.50727326,93.97308808"
X28,NORTH LAKHIMPUR BRANCH,27.2315944,94.0920157,"27.2315944,94.0920157"
X30,DHARMANAGAR BRANCH,24.37608462,92.16367112,"24.37608462,92.16367112"
X32,DIMAPUR BRANCH,25.91148426,93.70255499,"25.91148426,93.70255499"
X33,JAGIROAD BRANCH,26.12113035,92.19794161,"26.12113035,92.19794161"
X34,BARPETA BRANCH,26.33178901,91.00853763,"26.33178901,91.00853763"
X35,HGB ROAD APEX,23.82912363,91.27772305,"23.82912363,91.27772305"
X36,AMINGAON BRANCH,26.18808231,91.66467152,"26.18808231,91.66467152"
X37,MORAN BRANCH,27.19744102,94.91030293,"27.19744102,94.91030293"
X03,AGARTALA APEX,23.83510848,91.27031132,"23.83510848,91.27031132"
C74,THIRUVERKADU BRANCH,13.0630475,80.1391284,"13.0630475,80.1391284"
X11,AGARTALA T/S APEX,23.83510848,91.27031132,"23.83510848,91.27031132"
A51,DAHEJ SORTING OFFICE,21.7144276,72.6271475,"21.7144276,72.6271475"
X38,LANKA SORTING OFFICE,25.915809,92.95611,"25.915809,92.95611"
I40,UJJAIN SORTING OFFICE,23.17971,75.79362,"23.17971,75.79362"
W54,KHALLIKOTE BRANCH,19.6281,85.1314,"19.6281,85.1314"
I41,MANDIDEEP SERVICE CENTER,23.1001,77.5113,"23.1001,77.5113"
O90,ATTINGAL BRANCH,8.600662329,76.85473641,"8.600662329,76.85473641"
K04,BAGHBAZAR BRANCH,22.604267,88.374071,"22.604267,88.374071"
K133,KOLKATA FULFILMENT CENTRE-FC_11,22.60095966,88.22296766,"22.60095966,88.22296766"
P74,YEOLA SUPER FRANCHISEE,20.03902756,74.4896667,"20.03902756,74.4896667"
J54,KHARAR BRANCH,30.7456796,76.6527478,"30.7456796,76.6527478"
I42,INDORE CITY BRANCH,22.746654,75.892436,"22.746654,75.892436"
M80,ANDHERI WEST IGSP BRANCH,19.13875,72.80646,"19.13875,72.80646"
B115,KAMBIPURA IGSP BRANCH,12.96142,77.568874,"12.96142,77.568874"
M81,KAMAN APEX,19.35789077,72.9089167,"19.35789077,72.9089167"
X14,DULIAJAN SORTING OFFICE,27.3575655,95.3342788,"27.3575655,95.3342788"
I43,BHOPAL CITY BRANCH,23.235347,77.434564,"23.235347,77.434564"
X39,SILAPATHAR SORTING OFFICE,27.5776322,94.7287268,"27.5776322,94.7287268"
B116,MALLESHWARAM IGSP BRANCH,13.001676,77.571476,"13.001676,77.571476"
X40,UDAIPUR SORTING OFFICE,23.465184,91.187174,"23.465184,91.187174"
N42,ECOTECH 12 NOIDA BRANCH,28.596883,77.465735,"28.596883,77.465735"
I44,SATNA SORTING OFFICE,24.57426,80.8465471,"24.57426,80.8465471"
I45,KATNI SORTING OFFICE,23.84023,80.41189,"23.84023,80.41189"
X41,KOLIABOR SORTING OFFICE,26.5459306,92.9284895,"26.5459306,92.9284895"
T89,SAGUNA MORE IGSP BRANCH,25.6204,85.0436,"25.6204,85.0436"
E57,TIRUPUR SCS BRANCH,11.15889,77.38861,"11.15889,77.38861"
I46,INDORE DEWASNAKA BRANCH,22.746654,75.892436,"22.746654,75.892436"
M82,MIRA ROAD IGSP BRANCH,19.271678,72.891044,"19.271678,72.891044"
B118,BLR LOCAL APEX,12.96093076,77.56582188,"12.96093076,77.56582188"
N43,TRANSYAMUNA APEX,28.634016,77.31575,"28.634016,77.31575"
K74,BARASAT BRANCH,22.718198,88.523752,"22.718198,88.523752"
